product,binary file,Series,download_link,file_name,publish_date,bin_file_size[B],comment
AM603,AM603_FW_V01.00.00.43(ESC).bin,DJI mini 3,https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/N3/AM603_FW_V01.00.00.43(ESC).bin,AM603_FW_V01.00.00.43(ESC).bin,19/10/2016,2835942,
AM603,AM603_FW_V01.00.00.43.bin,DJI mini 3,https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/N3/AM603_FW_V01.00.00.43.bin,AM603_FW_V01.00.00.43.bin,20/10/2016,3139462,
AM603,AM603_FW_V01.00.00.47.bin,DJI mini 3,https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/N3/AM603_FW_V01.00.00.47.bin,AM603_FW_V01.00.00.47.bin,20/10/2016,2843110,
AM603,AM603_FW_V01.00.00.51.bin,DJI mini 3,https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/N3/AM603_FW_V01.00.00.51.bin,AM603_FW_V01.00.00.51.bin,21/10/2016,2853350,
AM603,AM603_FW_V01.00.00.70.bin,DJI mini 3,https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/N3/AM603_FW_V01.00.00.70.bin,AM603_FW_V01.00.00.70.bin,7/11/2016,2874742,
AM603,AM603_FW_V01.00.00.80.bin,DJI mini 3,https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/N3/AM603_FW_V01.00.00.80.bin,AM603_FW_V01.00.00.80.bin,8/11/2016,2890358,
AM603,AM603_FW_V01.00.01.01.bin,DJI mini 3,https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/N3/AM603_FW_V01.00.01.01.bin,AM603_FW_V01.00.01.01.bin,22/12/2016,3120758,
AM603,AM603_FW_V02.00.00.12.bin,DJI mini 3,https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/N3/AM603_FW_V02.00.00.12.bin,AM603_FW_V02.00.00.12.bin,13/9/2016,2615082,
AM603,N3_FW_V01.00.01.01.bin,DJI mini 3,https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/N3_A3_test/N3_FW_V01.00.01.01.bin,N3_FW_V01.00.01.01.bin,3/1/2017,3135862,
AM603,N3_FW_V01.01.01.00.bin,DJI mini 3,https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/N3/N3_FW_V01.01.01.00.bin,N3_FW_V01.01.01.00.bin,5/1/2017,3133558,
GL300E,GL300E_RC_v00.01.04.01_20161019.bin,RC for Phantom series,https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/POMATO_RC/GL300E_RC_v00.01.04.01_20161019.bin,GL300E_RC_v00.01.04.01_20161019.bin,19/10/2016,216948,
GL300E,GL300E_RC_v00.01.05.00_20161024.bin,RC for Phantom series,https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/POMATO_RC/GL300E_RC_v00.01.05.00_20161024.bin,GL300E_RC_v00.01.05.00_20161024.bin,24/10/2016,153220,
GL300E,GL300E_v00.01.00.00_154968013.bin,RC for Phantom series,https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/POMATO_RC/GL300E_v00.01.00.00_154968013.bin,GL300E_v00.01.00.00_154968013.bin,21/9/2016,148920,
GL300E,p4pRC_v1.0.0.0_20161010.bin,RC for Phantom series,https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/POMATO_RC/p4pRC_v1.0.0.0_20161010.bin,p4pRC_v1.0.0.0_20161010.bin,11/10/2016,216948,
MATRICE100,MATRICE100_FW_V01.02.00.60.bin,DJI MATICE 100 series,https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/M100/MATRICE100_FW_V01.02.00.60.bin,MATRICE100_FW_V01.02.00.60.bin,19/2/2016,1416854,
MATRICE100,MATRICE100_FW_V01.02.00.70.bin,DJI MATICE 100 series,https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/M100/MATRICE100_FW_V01.02.00.70.bin,MATRICE100_FW_V01.02.00.70.bin,29/2/2016,1417622,
MATRICE100,MATRICE100_FW_V01.02.00.80.bin,DJI MATICE 100 series,https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/M100/MATRICE100_FW_V01.02.00.80.bin,MATRICE100_FW_V01.02.00.80.bin,1/4/2016,1500122,
MATRICE100,MATRICE100_FW_V01.02.00.90.bin,DJI MATICE 100 series,https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/M100/MATRICE100_FW_V01.02.00.90.bin,MATRICE100_FW_V01.02.00.90.bin,31/3/2016,1505082,
MATRICE100,MATRICE100_FW_V01.03.01.00_pc.bin,DJI MATICE 100 series,https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/M100/MATRICE100_FW_V01.03.01.00_pc.bin,MATRICE100_FW_V01.03.01.00_pc.bin,11/4/2016,1505990,
MATRICE100,MATRICE100_FW_V01.03.02.55_pc.bin,DJI MATICE 100 series,https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/M100/MATRICE100_FW_V01.03.02.55_pc.bin,MATRICE100_FW_V01.03.02.55_pc.bin,1/7/2016,1414086,
MATRICE600,MATRICE600_FW_V01.00.00.27.bin,DJI MATICE 600 series,https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/M600/MATRICE600_FW_V01.00.00.27.bin,MATRICE600_FW_V01.00.00.27.bin,6/12/2016,3292363,
MATRICE600,MATRICE600_FW_V01.00.00.27_nw.bin,DJI MATICE 600 series,https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/M600/MATRICE600_FW_V01.00.00.27_nw.bin,MATRICE600_FW_V01.00.00.27_nw.bin,14/12/2016,3300555,
MATRICE600,MATRICE600_FW_V01.00.00.28.bin,DJI MATICE 600 series,https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/M600/MATRICE600_FW_V01.00.00.28.bin,MATRICE600_FW_V01.00.00.28.bin,4/1/2017,3263895,
MATRICE600,MATRICE600_FW_V01.00.00.39.bin,DJI MATICE 600 series,https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/M600/MATRICE600_FW_V01.00.00.39.bin,MATRICE600_FW_V01.00.00.39.bin,29/9/2016,3163827,
MATRICE600,MATRICE600_FW_V01.00.00.39_nw.bin,DJI MATICE 600 series,https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/M600/MATRICE600_FW_V01.00.00.39_nw.bin,MATRICE600_FW_V01.00.00.39_nw.bin,21/10/2016,2988247,
MATRICE600,MATRICE600_FW_V01.00.00.42.bin,DJI MATICE 600 series,https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/M600/MATRICE600_FW_V01.00.00.42.bin,MATRICE600_FW_V01.00.00.42.bin,21/10/2016,3110319,
MATRICE600,MATRICE600_FW_V01.00.00.43.bin,DJI MATICE 600 series,https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/M600/MATRICE600_FW_V01.00.00.43.bin,MATRICE600_FW_V01.00.00.43.bin,17/10/2016,3218763,
MATRICE600,MATRICE600_FW_V01.00.00.44.bin,DJI MATICE 600 series,https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/M600/MATRICE600_FW_V01.00.00.44.bin,MATRICE600_FW_V01.00.00.44.bin,26/10/2016,3226979,
MATRICE600,MATRICE600_FW_V01.00.00.51.bin,DJI MATICE 600 series,https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/M600/MATRICE600_FW_V01.00.00.51.bin,MATRICE600_FW_V01.00.00.51.bin,4/11/2016,3251347,
MATRICE600,MATRICE600_FW_V01.00.00.53.bin,DJI MATICE 600 series,https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/M600/MATRICE600_FW_V01.00.00.53.bin,MATRICE600_FW_V01.00.00.53.bin,10/11/2016,3267731,
MATRICE600,MATRICE600_FW_V01.00.00.54.bin,DJI MATICE 600 series,https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/M600/MATRICE600_FW_V01.00.00.54.bin,MATRICE600_FW_V01.00.00.54.bin,21/11/2016,3272851,
MATRICE600,MATRICE600_FW_V01.00.00.56.bin,DJI MATICE 600 series,https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/M600/MATRICE600_FW_V01.00.00.56.bin,MATRICE600_FW_V01.00.00.56.bin,14/12/2016,3300555,
MATRICE600,MATRICE600_FW_V01.00.00.60.bin,DJI MATICE 600 series,https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/M600/MATRICE600_FW_V01.00.00.60.bin,MATRICE600_FW_V01.00.00.60.bin,16/12/2016,3300555,
MATRICE600,MATRICE600_FW_V01.00.00.80.bin,DJI MATICE 600 series,https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/M600/MATRICE600_FW_V01.00.00.80.bin,MATRICE600_FW_V01.00.00.80.bin,19/12/2016,3300575,
MATRICE600,MATRICE600_FW_V01.00.0090.bin,DJI MATICE 600 series,https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/M600/MATRICE600_FW_V01.00.0090.bin,MATRICE600_FW_V01.00.0090.bin,19/12/2016,3062751,
MATRICE600,MATRICE600_FW_V02.00.00.21.bin,DJI MATICE 600 series,https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/UH/MATRICE600_FW_V02.00.00.21.bin,MATRICE600_FW_V02.00.00.21.bin,19/12/2016,3505831,
MATRICE600,MATRICE600_FW_V02.00.00.95(polar).bin,DJI MATICE 600 series,https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/UH/MATRICE600_FW_V02.00.00.95(polar).bin,MATRICE600_FW_V02.00.00.95(polar).bin,4/1/2017,3263895,
MATRICE600PRO,MATRICE600PRO_FW_V01.00.00.01.bin,DJI MATICE 600 series,https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/M600PRO/MATRICE600PRO_FW_V01.00.00.01.bin,MATRICE600PRO_FW_V01.00.00.01.bin,18/4/2016,1911024,
MATRICE600PRO,MATRICE600PRO_FW_V01.00.00.51.bin,DJI MATICE 600 series,https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/M600PRO/MATRICE600PRO_FW_V01.00.00.51.bin,MATRICE600PRO_FW_V01.00.00.51.bin,18/8/2016,1843121,
MATRICE600PRO,MATRICE600PRO_FW_V01.00.00.53.bin,DJI MATICE 600 series,https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/M600PRO/MATRICE600PRO_FW_V01.00.00.53.bin,MATRICE600PRO_FW_V01.00.00.53.bin,5/5/2016,2941971,
MATRICE600PRO,MATRICE600PRO_FW_V01.00.00.54.bin,DJI MATICE 600 series,https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/M600PRO/MATRICE600PRO_FW_V01.00.00.54.bin,MATRICE600PRO_FW_V01.00.00.54.bin,8/6/2016,3016747,
